"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"86772099999","2025-05-14","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  76.1"," 8","  61.6"," 8","1016.4"," 8","924.8"," 8","999.9"," 0","  6.9"," 8","  8.7"," 17.3","  79.7"," ","  70.5"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-15","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  70.3","24","  60.4","24","1018.2","22","925.5","24","999.9"," 0","  5.9","24","  9.3"," 18.8","  79.3"," ","  63.3"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-16","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  71.3","24","  59.5","24","1018.0","22","925.5","24","999.9"," 0","  5.8","24","  8.9"," 20.4","  81.9"," ","  61.5"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-17","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  71.3","23","  60.0","23","1017.1","22","924.7","23","999.9"," 0","  5.0","23"," 11.3"," 23.1","  82.0"," ","  61.5"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-18","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  72.1","24","  61.1","24","1016.3","22","924.1","24","999.9"," 0","  4.0","24","  8.7"," 16.7","  83.8"," ","  63.9"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-19","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  72.5","24","  60.5","24","1016.8","22","924.7","24","999.9"," 0","  3.9","24","  6.8"," 14.4","  82.6"," ","  62.8"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-20","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  71.6","24","  57.3","24","1018.0","22","925.4","24","999.9"," 0","  3.9","24","  7.8"," 15.5","  79.9"," ","  63.3"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-21","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  70.8","24","  55.2","24","1017.8","22","925.2","24","999.9"," 0","  3.7","24","  8.0"," 20.4","  80.8"," ","  63.1"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-22","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  70.1","21","  53.1","21","1017.6","19","924.9","21","999.9"," 0","  2.6","21","  6.4"," 12.2","  82.0"," ","  56.3"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-23","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  71.5","24","  52.9","24","1017.9","22","925.5","24","999.9"," 0","  2.9","24","  6.4"," 11.8","  81.7"," ","  59.9"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-24","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  72.0","18","  52.3","18","1018.0","16","925.6","18","999.9"," 0","  4.0","18","  6.2"," 13.6","  84.6"," ","  62.1"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-25","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  73.6","21","  54.9","21","1018.0","21","925.9","21","999.9"," 0","  4.1","21","  7.6"," 14.0","  84.7"," ","  64.2"," "," 0.00","I","999.9","000000"
"86772099999","2025-05-26","-18.8","-52.6","819.5","CHAPADAO DO SUL, BR","  71.3","18","  55.1","18","1017.2","16","924.7","18","999.9"," 0","  4.1","18","  6.8"," 14.2","  82.4"," ","  64.0"," "," 0.00","I","999.9","000000"
