"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"66285099999","2025-01-01","-11.768086","19.897672","1328.92","LUENA, AO","  72.6"," 4","  54.5"," 4","9999.9"," 0","999.9"," 0","  5.1"," 4"," 10.2"," 4"," 15.0","999.9","  75.2","*","  70.7","*","99.99"," ","999.9","010000"
"66285099999","2025-01-02","-11.768086","19.897672","1328.92","LUENA, AO","  73.7"," 8","  52.5"," 8","9999.9"," 0","999.9"," 0","  5.0"," 8","  5.8"," 8","  7.0","999.9","  77.0","*","  68.0","*"," 0.00","I","999.9","000010"
"66285099999","2025-01-03","-11.768086","19.897672","1328.92","LUENA, AO","  76.4"," 7","  58.4"," 7","9999.9"," 0","999.9"," 0","  6.0"," 7","  6.0"," 7","  7.0","999.9","  84.2","*","  66.2","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-04","-11.768086","19.897672","1328.92","LUENA, AO","  77.2"," 7","  55.8"," 7","9999.9"," 0","999.9"," 0","  5.6"," 7","  6.3"," 7","  7.0","999.9","  82.4","*","  64.4","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-06","-11.768086","19.897672","1328.92","LUENA, AO","  75.9"," 5","  58.3"," 5","9999.9"," 0","999.9"," 0","  5.6"," 5"," 11.2"," 5"," 13.0","999.9","  80.6","*","  69.8","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-07","-11.768086","19.897672","1328.92","LUENA, AO","  76.3"," 6","  58.3"," 6","9999.9"," 0","999.9"," 0","  5.7"," 6","  8.6"," 6"," 13.0","999.9","  82.4","*","  64.4","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-08","-11.768086","19.897672","1328.92","LUENA, AO","  81.6","10","  58.0","10","9999.9"," 0","999.9"," 0","  5.7","10","  7.3","10"," 12.0","999.9","  89.6","*","  68.0","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-09","-11.768086","19.897672","1328.92","LUENA, AO","  77.0"," 9","  56.3"," 9","9999.9"," 0","999.9"," 0","  5.8"," 9","  6.6"," 9","  8.0","999.9","  84.2","*","  69.8","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-10","-11.768086","19.897672","1328.92","LUENA, AO","  76.9"," 8","  56.8"," 7","9999.9"," 0","999.9"," 0","  5.7"," 8","  7.4"," 8","  9.9","999.9","  82.4","*","  69.8","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-11","-11.768086","19.897672","1328.92","LUENA, AO","  77.2"," 6","  61.0"," 6","9999.9"," 0","999.9"," 0","  5.6"," 6","  6.4"," 6"," 11.1","999.9","  86.0","*","  68.0","*"," 0.00","I","999.9","000010"
"66285099999","2025-01-13","-11.768086","19.897672","1328.92","LUENA, AO","  78.9"," 5","  60.0"," 5","9999.9"," 0","999.9"," 0","  5.7"," 5","  9.8"," 5"," 12.0","999.9","  86.0","*","  68.0","*"," 0.00","I","999.9","000000"
"66285099999","2025-01-14","-11.768086","19.897672","1328.92","LUENA, AO","  67.6"," 5","  50.7"," 5","9999.9"," 0","999.9"," 0","  4.7"," 5","  7.0"," 5"," 12.0","999.9","  73.4","*","  64.4","*","99.99"," ","999.9","010000"
