"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"64452099999","2025-06-25","-2.6166667","16.2166667","312.0","M POUYA, CF","  74.1"," 5","  70.6"," 5","9999.9"," 0","999.9"," 0","  4.5"," 5","  0.8"," 5","  1.9","999.9","  77.0","*","  72.5","*"," 0.35","E","999.9","010010"
"64452099999","2025-06-26","-2.6166667","16.2166667","312.0","M POUYA, CF","  80.6"," 5","  70.3"," 5","9999.9"," 0","999.9"," 0","  4.8"," 5","  1.6"," 5","  4.1","999.9","  87.8","*","  69.8","*"," 0.00","I","999.9","000000"
"64452099999","2025-06-27","-2.6166667","16.2166667","312.0","M POUYA, CF","  80.3"," 4","  72.1"," 4","9999.9"," 0","999.9"," 0","  4.7"," 4","  2.0"," 4","  4.1","999.9","  86.9","*","  74.3","*"," 0.00","I","999.9","000000"
"64452099999","2025-06-29","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.8"," 4","  70.8"," 4","9999.9"," 0","999.9"," 0","  5.3"," 4","  3.0"," 4","  4.1","999.9","  87.8","*","  71.6","*"," 0.00","I","999.9","000000"
"64452099999","2025-06-30","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.4"," 4","  69.8"," 4","9999.9"," 0","999.9"," 0","  4.3"," 4","  1.5"," 4","  1.9","999.9","  86.0","*","  68.9","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-03","-2.6166667","16.2166667","312.0","M POUYA, CF","  77.2"," 4","  70.4"," 4","9999.9"," 0","999.9"," 0","  4.3"," 4","  1.0"," 4","  1.9","999.9","  82.4","*","  70.7","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-04","-2.6166667","16.2166667","312.0","M POUYA, CF","  81.2"," 5","  70.7"," 5","9999.9"," 0","999.9"," 0","  4.5"," 5","  2.8"," 5","  4.1","999.9","  87.1","*","  72.5","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-05","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.7"," 4","  70.0"," 4","9999.9"," 0","999.9"," 0","  5.0"," 4","  2.0"," 4","  4.1","999.9","  87.8","*","  70.5","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-06","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.9"," 5","  71.9"," 5","9999.9"," 0","999.9"," 0","  5.7"," 5","  2.0"," 5","  4.1","999.9","  85.1","*","  71.6","*"," 0.39","G","999.9","000000"
"64452099999","2025-07-07","-2.6166667","16.2166667","312.0","M POUYA, CF","  81.0"," 5","  71.0"," 5","9999.9"," 0","999.9"," 0","  4.5"," 5","  1.6"," 5","  1.9","999.9","  88.7","*","  70.7","*"," 0.00","G","999.9","000000"
"64452099999","2025-07-09","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.2"," 4","  68.7"," 4","9999.9"," 0","999.9"," 0","  5.0"," 4","  2.5"," 4","  4.1","999.9","  85.1","*","  69.8","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-10","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.3"," 5","  68.4"," 5","9999.9"," 0","999.9"," 0","  5.0"," 5","  1.2"," 5","  1.9","999.9","  86.0","*","  68.0","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-11","-2.6166667","16.2166667","312.0","M POUYA, CF","  79.7"," 5","  68.8"," 5","9999.9"," 0","999.9"," 0","  3.8"," 4","  1.6"," 5","  1.9","999.9","  86.9","*","  66.2","*"," 0.00","I","999.9","100000"
"64452099999","2025-07-12","-2.6166667","16.2166667","312.0","M POUYA, CF","  80.6"," 5","  70.4"," 5","9999.9"," 0","999.9"," 0","  3.9"," 5","  1.2"," 5","  1.9","999.9","  87.8","*","  74.3","*"," 0.00","I","999.9","000000"
"64452099999","2025-07-13","-2.6166667","16.2166667","312.0","M POUYA, CF","  80.6"," 5","  69.9"," 5","9999.9"," 0","999.9"," 0","  4.0"," 5","  0.8"," 5","  1.9","999.9","  87.8","*","  69.8","*"," 0.00","I","999.9","000000"
